systematic gene name	gene expression [RPM]	gene length[nt]	gene expression [RPKM]	quality tag
YAL063C	13.074829427954423	3969	3.294237699157073	excluded
YAL063C-A	0.0	291	0.0	excluded
YAL064C-A	0.0	381	0.0	excluded
YAL064W	0.0	285	0.0	excluded
YAL064W-B	0.0	381	0.0	excluded
YAL065C	2.1791382379924036	387	5.630848160187089	excluded
YAL066W	0.0	309	0.0	excluded
YAL067C	15.253967665946828	1782	8.560026748567243	excluded
YAL067W-A	0.0	228	0.0	excluded
YAL068C	0.0	363	0.0	excluded
YAL068W-A	0.0	255	0.0	excluded
YAL069W	2.1791382379924036	315	6.9178991682298525	excluded
YAR002C-A	1414.2607164570713	660	2142.819267359199	included
YAR002W	3096.5554361872287	1620	1911.4539729550795	included
YAR003W	529.5305918321527	1281	413.3728273475041	included
YAR007C	2791.476082868284	1866	1495.9678900687481	included
YAR008W	261.4965885590881	828	315.81713594092764	included
YAR009C	315.9750445088982	3591	87.99082275380066	included
YAR010C	200.48071789530113	1323	151.53493416122535	included
YAR014C	871.6552951969649	2130	409.2278381206408	included
YAR015W	7454.831912172034	921	8094.280034931634	included
YAR018C	374.81177693469243	1308	286.5533462803459	included
YAR019C	590.5464624959402	2925	201.89622649433852	included
YAR019W-A	0.0	333	0.0	excluded
YAR020C	2.1791382379924036	168	12.971060940430974	excluded
YAR023C	6.537414713977211	540	12.106323544402242	excluded
YAR027W	226.6303767512097	708	320.09940219097416	included
YAR028W	115.49432661359742	705	163.82173987744315	excluded
YAR029W	2.1791382379924036	225	9.685058835521794	excluded
YAR030C	4.358276475984807	342	12.743498467791834	excluded
YAR031W	52.2993177118177	897	58.30470201986366	excluded
YAR033W	26.14965885590885	705	37.09171468923241	excluded
YAR035C-A	0.0	81	0.0	excluded
YAR035W	172.15192080139968	2064	83.40693837277117	included
YAR042W	1972.1201053831428	3567	552.8791997149265	included
YAR047C	2.1791382379924036	321	6.788592641720883	excluded
YAR050W	21.79138237992404	4614	4.722883047231045	excluded
YAR053W	0.0	297	0.0	excluded
YAR060C	6.537414713977211	336	19.45659141064646	excluded
YAR061W	0.0	204	0.0	excluded
YAR062W	0.0	597	0.0	excluded
YAR064W	0.0	300	0.0	excluded
YAR066W	117.67346485158983	612	192.27690335227095	excluded
YAR068W	4.358276475984807	486	8.967647069927587	excluded
YAR069C	0.0	294	0.0	excluded
YAR070C	2.1791382379924036	300	7.263794126641345	excluded
YAR071W	4482.48735555041	1404	3192.6548116455915	included
YAR073W	1466.5600341688896	1212	1210.0330314924831	included
YAR075W	871.6552951969607	474	1838.935221934516	included
