systematic transcript name	expression [RPM]	transcript length[nt]	expression [RPKM]	quality tag
YAL034C	23.881523760623544	1242	19.22828000050205	excluded
YAL034C-B	0.0	354	0.0	excluded
YAL034W-A	191.0521900849885	870	219.60021848849252	included
YAL035W	24538.265664040417	3009	8154.957016962584	included
YAL036C	4519.578371698027	1110	4071.692226754979	included
YAL037C-A	0.0	93	0.0	excluded
YAL037C-B	0.0	975	0.0	excluded
YAL037W	2.9851904700779435	804	3.7129234702461984	excluded
YAL038W	580828.5097630667	1503	386446.1142801508	included
YAL039C	665.6974748273803	810	821.8487343547905	included
YAL040C	570.1713797848873	1743	327.1206998192125	included
YAL041W	1552.2990444405193	2565	605.184812647376	included
YAL042C-A	0.0	378	0.0	excluded
YAL042W	2519.50075674578	1248	2018.8307345719393	included
YAL043C	1653.7955204231687	2358	701.3551825373912	included
YAL044C	6274.870368103843	513	12231.716117161488	included
YAL044W-A	632.8603796565241	333	1900.4816205901623	included
YAL045C	0.0	309	0.0	excluded
YAL046C	459.7193323920039	357	1287.7292223865654	included
YAL047C	295.5338565377167	1869	158.12405379225078	included
YAL047W-A	0.0	330	0.0	excluded
YAL048C	468.67490380223796	1989	235.63343579800804	included
YAL049C	1334.3801401248365	741	1800.7829151482276	included
YAL051W	1134.372378629612	3144	360.8054639407163	included
YAL053W	1217.9577117917938	2352	517.8391631767831	included
YAL054C	26.86671423070149	2142	12.542817101167829	excluded
YAL055W	179.11142820467668	543	329.85530056109883	excluded
YAL056C-A	0.0	351	0.0	excluded
YAL056W	450.76376098177036	2643	170.5500419908325	included
YAL058W	364.1932373495095	1509	241.3474071235981	included
YAL059C-A	0.0	423	0.0	excluded
YAL059W	1077.6537596981348	639	1686.469107508818	included
YAL060W	2579.2045661473458	1149	2244.7385258027375	included
YAL061W	110.45204739288384	1254	88.07978260995522	excluded
YAL062W	116.42242833303972	1374	84.73248059173197	excluded
YAL063C	8.95557141023383	3969	2.2563797959772813	excluded
YAL063C-A	2.9851904700779435	291	10.258386495113209	excluded
YAL064C-A	0.0	381	0.0	excluded
YAL064W	0.0	285	0.0	excluded
YAL064W-B	0.0	381	0.0	excluded
YAL065C	0.0	387	0.0	excluded
YAL066W	0.0	309	0.0	excluded
YAL067C	11.940761880311774	1782	6.7007642425992	excluded
YAL067W-A	0.0	228	0.0	excluded
YAL068C	0.0	363	0.0	excluded
YAL068W-A	0.0	255	0.0	excluded
YAL069W	0.0	315	0.0	excluded
YAR002C-A	2674.7306611898352	660	4052.6222139239926	included
YAR002W	2355.31528089149	1620	1453.898321537957	included
YAR003W	465.68971333216	1281	363.53607598138956	included
YAR007C	3343.413326487315	1866	1791.7541942590112	included
YAR008W	438.82299910145827	828	529.9794675138385	included
YAR009C	17.91114282046766	3591	4.987786917423465	excluded
YAR010C	41.79266658109122	1323	31.589317143681946	excluded
YAR014C	1650.810329953091	2130	775.028323921639	included
YAR015W	5877.8400355834865	921	6382.019582609649	included
YAR018C	540.3194750841085	1308	413.08828370344685	included
YAR019C	513.4527608534072	2925	175.53940541996826	included
YAR019W-A	2.9851904700779435	333	8.96453594618001	excluded
YAR020C	0.0	168	0.0	excluded
YAR023C	0.0	540	0.0	excluded
YAR027W	498.52680850301755	708	704.1339103149965	included
YAR028W	349.2672849991197	705	495.4145886512336	included
YAR029W	5.970380940155887	225	26.53502640069283	excluded
YAR030C	0.0	342	0.0	excluded
YAR031W	140.30395209366333	897	156.41466231177628	excluded
YAR033W	95.52609504249416	705	135.49800715247397	excluded
YAR035C-A	0.0	81	0.0	excluded
YAR035W	86.57052363226036	2064	41.9430831551649	excluded
YAR042W	2000.0776149522035	3567	560.7170212930204	included
YAR047C	0.0	321	0.0	excluded
YAR050W	5.970380940155887	4614	1.2939707282522512	excluded
YAR053W	2.9851904700779435	297	10.0511463638988	excluded
YAR060C	0.0	336	0.0	excluded
YAR061W	0.0	204	0.0	excluded
YAR062W	0.0	597	0.0	excluded
YAR064W	0.0	300	0.0	excluded
YAR066W	280.6079041873269	612	458.50964736491323	included
YAR068W	5.970380940155887	486	12.2847344447652	excluded
YAR069C	0.0	294	0.0	excluded
YAR070C	0.0	300	0.0	excluded
YAR071W	10060.091884162644	1404	7165.307609802453	included
YAR073W	1462.743330338189	1212	1206.8839359225983	included
YAR075W	474.6452847423934	474	1001.3613602160199	included
