systematic gene name	gene expression [RPM]	gene length[nt]	gene expression [RPKM]	quality tag
YAR031W	64.29448329071293	897	71.67723889711587	excluded
YAR033W	26.688276082937456	705	37.855710755939654	excluded
YAR035C-A	0.0	81	0.0	excluded
YAR035W	172.26069108077854	2064	83.45963715154	included
YAR042W	1704.410358933059	3567	477.82740648529824	included
YAR047C	0.0	321	0.0	excluded
YAR050W	6.065517291576695	4614	1.3145897901119843	excluded
YAR053W	0.0	297	0.0	excluded
YAR060C	1.213103458315339	336	3.6104269592718423	excluded
YAR061W	0.0	204	0.0	excluded
YAR062W	0.0	597	0.0	excluded
YAR064W	0.0	300	0.0	excluded
YAR066W	77.63862133218173	612	126.86049237284597	included
YAR068W	3.6393103749460174	486	7.488292952563822	excluded
YAR069C	0.0	294	0.0	excluded
YAR070C	0.0	300	0.0	excluded
YAR071W	4494.548313058347	1404	3201.2452372210446	included
YAR073W	1448.4455292285184	1212	1195.0870703205596	included
YAR075W	868.5820761537833	474	1832.451637455239	included
